"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"2023-01-12T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",7.63,"provisorisch"
"2023-01-12T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",0,"provisorisch"
"2023-01-12T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",970.94,"provisorisch"
"2023-01-12T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",9.19,"provisorisch"
"2023-01-13T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",8.14,"provisorisch"
"2023-01-13T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",337.88,"provisorisch"
"2023-01-13T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",967.84,"provisorisch"
"2023-01-13T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",37.94,"provisorisch"
"2023-01-13T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",9.19,"provisorisch"
"2023-01-13T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",8.33,"provisorisch"
"2023-01-13T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",208.63,"provisorisch"
"2023-01-13T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",970.41,"provisorisch"
"2023-01-13T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",9.53,"provisorisch"
"2023-01-13T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",7.89,"provisorisch"
"2023-01-13T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",271.5,"provisorisch"
"2023-01-13T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",968.05,"provisorisch"
"2023-01-13T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",8.84,"provisorisch"
"2023-01-14T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",7.74,"provisorisch"
"2023-01-14T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",128.18,"provisorisch"
"2023-01-14T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",967.2,"provisorisch"
"2023-01-14T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",41.98,"provisorisch"
"2023-01-14T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",10.45,"provisorisch"
"2023-01-14T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",7.86,"provisorisch"
"2023-01-14T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",66.18,"provisorisch"
"2023-01-14T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",969.78,"provisorisch"
"2023-01-14T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",10.95,"provisorisch"
"2023-01-14T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",7.5,"provisorisch"
"2023-01-14T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",62.42,"provisorisch"
"2023-01-14T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",967.43,"provisorisch"
"2023-01-14T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",10.28,"provisorisch"
"2023-01-15T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",6.81,"provisorisch"
"2023-01-15T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",292.47,"provisorisch"
"2023-01-15T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",959.9,"provisorisch"
"2023-01-15T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",10.46,"provisorisch"
"2023-01-15T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",11.11,"provisorisch"
"2023-01-15T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",6.85,"provisorisch"
"2023-01-15T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",275.93,"provisorisch"
"2023-01-15T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",962.54,"provisorisch"
"2023-01-15T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",11.34,"provisorisch"
"2023-01-15T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",6.35,"provisorisch"
"2023-01-15T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",273.22,"provisorisch"
"2023-01-15T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",960.12,"provisorisch"
"2023-01-15T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",10.69,"provisorisch"
"2023-01-16T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",3.43,"provisorisch"
"2023-01-16T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",94.11,"provisorisch"
"2023-01-16T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",945.27,"provisorisch"
"2023-01-16T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",31.55,"provisorisch"
"2023-01-16T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",6.52,"provisorisch"
"2023-01-16T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",3.33,"provisorisch"
"2023-01-16T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",32.57,"provisorisch"
"2023-01-16T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",947.87,"provisorisch"
"2023-01-16T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",6.78,"provisorisch"
"2023-01-16T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",3.17,"provisorisch"
"2023-01-16T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",40.37,"provisorisch"
"2023-01-16T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",945.56,"provisorisch"
